Rebalance(time=1481551224422029957, exchange='IEX', name='VXX', holding=0, fairvalue=28.395, Profit=0.0)
Rebalance(time=1481551224423474887, exchange='IEX', name='VXX', holding=0, fairvalue=25.965, Profit=0.0)
Rebalance(time=1481551224425794415, exchange='IEX', name='VXX', holding=0, fairvalue=28.395, Profit=0.0)
Rebalance(time=1481551224426370483, exchange='IEX', name='VXX', holding=0, fairvalue=28.41, Profit=0.0)
Rebalance(time=1481551224429691571, exchange='IEX', name='VXX', holding=0, fairvalue=26.01, Profit=0.0)
Rebalance(time=1481551224431647056, exchange='IEX', name='VXX', holding=0, fairvalue=26.015, Profit=0.0)
Rebalance(time=1481551224457257838, exchange='IEX', name='VXX', holding=0, fairvalue=26.01, Profit=0.0)
Rebalance(time=1481551224526823801, exchange='IEX', name='VXX', holding=0, fairvalue=28.41, Profit=0.0)
Rebalance(time=1481551224529182336, exchange='IEX', name='VXX', holding=0, fairvalue=25.965000000000003, Profit=0.0)
Rebalance(time=1481551224543390926, exchange='IEX', name='VXX', holding=0, fairvalue=25.950000000000003, Profit=0.0)
Rebalance(time=1481551225436306844, exchange='IEX', name='VXX', holding=0, fairvalue=25.955, Profit=0.0)
Rebalance(time=1481551226045501853, exchange='IEX', name='VXX', holding=0, fairvalue=25.950000000000003, Profit=0.0)
Rebalance(time=1481551226047851243, exchange='IEX', name='VXX', holding=0, fairvalue=25.935000000000002, Profit=0.0)
Rebalance(time=1481551226049488519, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551226052447973, exchange='IEX', name='VXX', holding=0, fairvalue=25.924999999999997, Profit=0.0)
Rebalance(time=1481551226056008303, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551226058501793, exchange='IEX', name='VXX', holding=0, fairvalue=25.95, Profit=0.0)
Rebalance(time=1481551226058730772, exchange='IEX', name='VXX', holding=0, fairvalue=25.97, Profit=0.0)
Rebalance(time=1481551226059566208, exchange='IEX', name='VXX', holding=0, fairvalue=25.95, Profit=0.0)
Rebalance(time=1481551226059643791, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551226061940151, exchange='IEX', name='VXX', holding=0, fairvalue=28.384999999999998, Profit=0.0)
Rebalance(time=1481551226062699788, exchange='IEX', name='VXX', holding=0, fairvalue=25.94, Profit=0.0)
Rebalance(time=1481551226267984900, exchange='IEX', name='VXX', holding=0, fairvalue=25.935000000000002, Profit=0.0)
Rebalance(time=1481551226572499409, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551226574763814, exchange='IEX', name='VXX', holding=0, fairvalue=25.924999999999997, Profit=0.0)
Rebalance(time=1481551226575971629, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551226578585432, exchange='IEX', name='VXX', holding=0, fairvalue=25.89, Profit=0.0)
Rebalance(time=1481551226579629024, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551226584293722, exchange='IEX', name='VXX', holding=0, fairvalue=25.89, Profit=0.0)
Rebalance(time=1481551226584376835, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551226586806635, exchange='IEX', name='VXX', holding=0, fairvalue=25.924999999999997, Profit=0.0)
Rebalance(time=1481551227081696294, exchange='IEX', name='VXX', holding=0, fairvalue=25.93, Profit=0.0)
Rebalance(time=1481551229657541713, exchange='IEX', name='VXX', holding=0, fairvalue=25.924999999999997, Profit=0.0)
Rebalance(time=1481551230625775953, exchange='IEX', name='VXX', holding=0, fairvalue=25.93, Profit=0.0)
Rebalance(time=1481551236645206116, exchange='IEX', name='VXX', holding=0, fairvalue=28.384999999999998, Profit=0.0)
Rebalance(time=1481551236647185509, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
Rebalance(time=1481551236647889562, exchange='IEX', name='VXX', holding=0, fairvalue=25.95, Profit=0.0)
Rebalance(time=1481551236648511119, exchange='IEX', name='VXX', holding=0, fairvalue=28.38, Profit=0.0)
