Time,Bid,Ask
20191001 00:09:19.126,1.22899,1.22905
20191001 00:09:24.132,1.22899,1.2290299999999998
20191001 00:09:24.137,1.2289700000000001,1.22901
20191001 00:09:24.143,1.22895,1.22901
20191001 00:09:24.198,1.22894,1.22901
20191001 00:09:24.208,1.22892,1.22898
20191001 00:09:24.270,1.22892,1.22896
20191001 00:09:25.002,1.22892,1.22899
20191001 00:09:27.756,1.22891,1.22898
20191001 00:09:30.041,1.22895,1.22898
20191001 00:09:35.268,1.22894,1.22898
20191001 00:09:41.588,1.22894,1.22899
20191001 00:09:41.695,1.22895,1.22899
20191001 00:09:43.455,1.22895,1.22898
20191001 00:09:59.238,1.22894,1.22898
20191001 00:10:04.189,1.22894,1.22901
20191001 00:10:05.557,1.2289299999999999,1.22901
20191001 00:10:09.159,1.22892,1.22901
20191001 00:10:10.086,1.2289299999999999,1.22901
20191001 00:10:10.403,1.2289299999999999,1.229
20191001 00:10:10.467,1.2289299999999999,1.22901
20191001 00:10:12.095,1.2289299999999999,1.22899
20191001 00:10:19.238,1.22892,1.22899
20191001 00:10:20.636,1.2289299999999999,1.22899
20191001 00:10:21.057,1.2289299999999999,1.22898
20191001 00:10:23.115,1.22892,1.22898
20191001 00:10:24.345,1.2289299999999999,1.22898
20191001 00:10:28.770,1.22892,1.22898
20191001 00:10:43.115,1.22892,1.22901
20191001 00:10:56.303,1.22892,1.229
20191001 00:10:58.083,1.22891,1.229
20191001 00:10:59.400,1.22892,1.229
20191001 00:11:00.090,1.22892,1.22898
20191001 00:11:00.547,1.22891,1.22898
20191001 00:11:16.057,1.22892,1.22898
20191001 00:11:16.946,1.22892,1.22899
20191001 00:11:17.277,1.22892,1.22898
20191001 00:11:42.237,1.22892,1.22899
20191001 00:11:44.312,1.22892,1.22898
20191001 00:11:44.911,1.22891,1.229
20191001 00:11:44.915,1.22896,1.22902
20191001 00:11:44.968,1.2289700000000001,1.22904
20191001 00:11:44.974,1.22898,1.22904
20191001 00:11:44.977,1.229,1.22906
20191001 00:11:45.546,1.22901,1.22906
20191001 00:11:46.969,1.229,1.22906
20191001 00:11:52.203,1.22898,1.22906
20191001 00:11:52.313,1.22899,1.22906
20191001 00:11:52.426,1.22898,1.22906
20191001 00:11:52.976,1.22898,1.22904
20191001 00:11:52.979,1.2289700000000001,1.22904
20191001 00:11:52.982,1.22896,1.2290299999999998
20191001 00:11:53.037,1.22896,1.22902
20191001 00:11:54.629,1.22896,1.2290299999999998
20191001 00:11:57.968,1.22894,1.229
20191001 00:11:57.973,1.22892,1.22899
20191001 00:11:57.975,1.22891,1.22898
20191001 00:12:07.317,1.2289,1.2289299999999999
20191001 00:12:07.371,1.2288700000000001,1.2289299999999999
20191001 00:12:07.374,1.22886,1.2289299999999999
20191001 00:12:07.434,1.22889,1.22895
20191001 00:12:07.551,1.22888,1.22895
20191001 00:12:17.856,1.2288700000000001,1.22895
20191001 00:12:26.464,1.22889,1.22896
20191001 00:12:27.691,1.22889,1.22894
20191001 00:12:28.771,1.22888,1.22894
20191001 00:12:30.031,1.2289,1.22894
20191001 00:12:47.738,1.2289,1.2289700000000001
20191001 00:12:51.808,1.22886,1.2289700000000001
20191001 00:12:56.247,1.22889,1.2289700000000001
20191001 00:13:01.840,1.22888,1.2289700000000001
20191001 00:13:03.040,1.22889,1.2289700000000001
20191001 00:13:13.267,1.22888,1.2289700000000001
20191001 00:13:15.567,1.22889,1.2289700000000001
20191001 00:13:22.762,1.22889,1.22894
20191001 00:13:30.840,1.22888,1.22894
20191001 00:13:38.132,1.22889,1.22894
20191001 00:13:38.144,1.22889,1.22895
20191001 00:13:39.481,1.2289,1.22895
20191001 00:13:45.449,1.22888,1.22895
20191001 00:13:45.888,1.2289,1.22895
20191001 00:13:50.053,1.2289,1.22898
20191001 00:13:53.690,1.2289,1.2289700000000001
20191001 00:14:11.223,1.22889,1.2289700000000001
20191001 00:14:12.642,1.2289,1.2289700000000001
20191001 00:14:30.966,1.2289,1.22898
20191001 00:14:33.171,1.2289,1.22895
20191001 00:14:38.346,1.22888,1.22895
20191001 00:14:45.626,1.22889,1.22895
20191001 00:14:45.628,1.22889,1.22896
20191001 00:14:45.740,1.2289,1.22896
20191001 00:14:48.453,1.22888,1.22894
20191001 00:14:48.521,1.22888,1.22895
20191001 00:14:48.645,1.2289,1.22895
20191001 00:14:49.935,1.22889,1.22895
20191001 00:14:50.659,1.22889,1.22894
20191001 00:14:50.715,1.22889,1.22895
20191001 00:14:50.826,1.22889,1.22894
20191001 00:14:50.832,1.22889,1.22896
20191001 00:14:50.999,1.22889,1.22894
20191001 00:14:51.059,1.22888,1.22895
20191001 00:14:51.174,1.22888,1.22894
20191001 00:14:51.234,1.2289,1.22895
20191001 00:14:51.295,1.22888,1.22894
20191001 00:14:51.354,1.22888,1.22895
20191001 00:14:51.466,1.22888,1.22894
20191001 00:14:51.530,1.22888,1.2289299999999999
20191001 00:14:51.532,1.2288700000000001,1.2289299999999999
20191001 00:14:51.534,1.2288700000000001,1.22892
20191001 00:14:51.587,1.22885,1.22892
20191001 00:14:51.647,1.22885,1.22891
20191001 00:14:51.764,1.22885,1.2289
20191001 00:14:51.767,1.22885,1.22889
20191001 00:14:52.048,1.22884,1.22889
20191001 00:14:55.028,1.2288299999999999,1.22889
20191001 00:14:58.681,1.2288299999999999,1.2289
20191001 00:14:58.905,1.2288299999999999,1.22891
20191001 00:14:59.341,1.2288299999999999,1.2289
20191001 00:14:59.395,1.22885,1.2289
20191001 00:14:59.398,1.22886,1.2289299999999999
20191001 00:14:59.402,1.2288700000000001,1.22894
20191001 00:14:59.457,1.2289,1.22894
20191001 00:14:59.580,1.2289,1.22896
20191001 00:14:59.912,1.22889,1.22896
20191001 00:15:01.095,1.2289,1.22896
20191001 00:15:01.934,1.22889,1.22896
20191001 00:15:08.988,1.22889,1.2289700000000001
20191001 00:15:09.695,1.22888,1.2289700000000001
20191001 00:15:12.211,1.22889,1.2289700000000001
20191001 00:15:13.518,1.22888,1.2289700000000001
20191001 00:15:15.944,1.22889,1.2289700000000001
20191001 00:15:17.162,1.22888,1.2289700000000001
20191001 00:15:19.435,1.22888,1.22895
20191001 00:15:23.420,1.22889,1.22895
