Time,Bid,Ask
2008-02-25,22.69,25.07
2008-02-26,21.64,23.45
2008-02-27,21.83,23.01
2008-02-28,22.69,23.79
2008-02-29,23.54,26.91
2008-03-03,26.27,28.13
2008-03-04,25.51,27.42
2008-03-05,23.3,25.77
2008-03-06,25.04,27.9
2008-03-07,26.48,29.29
2008-03-10,27.92,29.73
2008-03-11,26.35,28.64
2008-03-12,24.9,27.25
2008-03-13,25.65,29.62
2008-03-14,26.02,32.89
2008-03-17,31.1,35.6
2008-03-18,25.58,32.24
2008-03-19,25.16,29.95
2008-03-20,25.8,29.84
2008-03-24,24.75,27.04
2008-03-25,25.17,26.42
2008-03-26,25.51,26.85
2008-03-27,24.91,25.98
2008-03-28,25.04,25.96
2008-03-31,25.35,26.77
2008-04-01,22.52,25.61
2008-04-02,22.39,23.65
2008-04-03,23.0,24.15
2008-04-04,21.75,23.31
2008-04-07,21.21,22.73
2008-04-08,22.36,23.16
2008-04-09,22.36,23.57
2008-04-10,21.63,23.22
2008-04-11,22.65,23.59
2008-04-14,23.46,24.35
2008-04-15,22.72,23.99
2008-04-16,20.5,22.09
2008-04-17,20.35,21.54
2008-04-18,19.21,20.37
2008-04-21,20.15,21.12
2008-04-22,20.47,21.6
2008-04-23,19.88,20.95
2008-04-24,19.21,20.77
2008-04-25,19.28,20.36
2008-04-28,19.37,20.25
2008-04-29,19.63,20.54
2008-04-30,19.69,20.81
2008-05-01,18.87,20.83
2008-05-02,17.97,19.11
2008-05-05,18.68,19.29
2008-05-06,18.11,19.57
2008-05-07,18.42,19.98
2008-05-08,18.62,19.92
2008-05-09,19.3,20.01
2008-05-12,16.92,19.48
2008-05-13,17.76,18.63
2008-05-14,16.19,17.98
2008-05-15,16.25,17.84
2008-05-16,16.3,17.92
2008-05-19,15.82,17.89
2008-05-20,17.02,18.42
2008-05-21,17.01,18.89
2008-05-22,17.82,19.11
2008-05-23,18.38,19.8
2008-05-27,19.42,20.95
2008-05-28,19.01,20.03
2008-05-29,17.54,19.17
2008-05-30,17.56,18.21
2008-06-02,17.83,20.45
2008-06-03,18.89,21.0
2008-06-04,19.76,21.31
2008-06-05,18.62,20.59
2008-06-06,18.63,23.79
2008-06-09,20.78,24.47
2008-06-10,22.31,24.42
2008-06-11,22.86,24.3
2008-06-12,21.91,23.98
2008-06-13,21.04,23.14
2008-06-16,20.73,22.84
2008-06-17,20.02,21.42
2008-06-18,21.26,22.86
2008-06-19,20.91,22.61
2008-06-20,21.58,23.7
2008-06-23,22.52,23.14
2008-06-24,21.68,23.48
2008-06-25,20.34,22.42
2008-06-26,22.15,23.99
2008-06-27,23.3,24.56
2008-06-30,23.27,24.26
2008-07-01,23.64,25.57
2008-07-02,22.7,25.96
2008-07-03,24.44,26.08
2008-07-07,24.73,26.91
2008-07-08,23.02,26.05
2008-07-09,22.59,25.39
2008-07-10,25.07,26.62
2008-07-11,25.56,29.44
2008-07-14,26.9,29.3
2008-07-15,27.01,30.81
2008-07-16,24.87,28.19
2008-07-17,23.99,25.5
2008-07-18,23.78,25.19
2008-07-21,23.04,24.58
2008-07-22,21.05,24.08
2008-07-23,20.73,22.08
2008-07-24,21.31,23.61
2008-07-25,22.31,23.45
2008-07-28,19.65,24.62
2008-07-29,21.96,24.22
2008-07-30,20.99,22.31
2008-07-31,21.45,22.96
2008-08-01,22.35,23.37
2008-08-04,22.94,23.86
2008-08-05,20.06,22.99
2008-08-06,19.75,21.66
2008-08-07,20.23,21.46
2008-08-08,20.11,21.69
2008-08-11,19.66,20.96
2008-08-12,20.38,21.51
2008-08-13,20.8,22.11
2008-08-14,20.07,22.3
2008-08-15,19.57,20.65
2008-08-18,19.58,21.44
2008-08-19,21.28,22.14
2008-08-20,20.39,21.67
2008-08-21,18.94,21.08
2008-08-22,18.64,19.83
2008-08-25,18.78,21.22
2008-08-26,20.48,21.27
2008-08-27,19.53,20.67
2008-08-28,19.22,19.66
2008-08-29,19.43,20.71
2008-09-02,20.47,22.3
2008-09-03,21.39,22.3
2008-09-04,21.91,24.15
2008-09-05,22.97,24.71
2008-09-08,22.12,24.06
2008-09-09,22.58,25.68
2008-09-10,23.8,25.48
2008-09-11,24.39,26.25
2008-09-12,24.8,26.67
2008-09-15,25.66,31.87
2008-09-16,30.24,33.7
2008-09-17,30.25,36.4
2008-09-18,33.1,42.16
2008-09-19,27.95,33.08
2008-09-22,30.81,34.22
2008-09-23,32.63,36.08
2008-09-24,34.16,36.71
2008-09-25,32.45,35.19
2008-09-26,32.82,36.4
2008-09-29,36.92,48.4
2008-09-30,38.86,43.8
2008-10-01,39.39,42.38
2008-10-02,39.82,46.48
2008-10-03,41.51,45.52
2008-10-06,45.12,58.24
2008-10-07,47.03,54.19
2008-10-08,51.9,59.06
2008-10-09,52.54,64.92
2008-10-10,59.96,76.94
2008-10-13,54.69,71.42
2008-10-14,47.29,59.81
2008-10-15,55.69,69.47
2008-10-16,66.51,81.17
2008-10-17,59.82,74.48
2008-10-20,52.7,70.4
2008-10-21,50.91,56.37
2008-10-22,53.0,80.64
2008-10-23,51.83,79.43
2008-10-24,67.8,89.53
2008-10-27,65.9,81.65
2008-10-28,65.66,78.98
2008-10-29,62.72,71.14
2008-10-30,62.67,69.83
2008-10-31,56.73,65.85
2008-11-03,53.63,60.77
2008-11-04,44.25,53.68
2008-11-05,46.87,55.62
2008-11-06,55.6,64.78
2008-11-07,56.03,63.68
2008-11-10,54.63,62.09
2008-11-11,58.58,64.73
2008-11-12,61.52,67.19
2008-11-13,58.66,69.99
2008-11-14,59.75,66.31
2008-11-17,65.1,69.59
2008-11-18,67.18,73.13
2008-11-19,67.34,75.0
2008-11-20,72.76,81.48
2008-11-21,71.63,80.74
2008-11-24,61.81,71.35
2008-11-25,60.25,65.49
2008-11-26,54.62,62.5
2008-11-28,50.5,56.82
2008-12-01,60.36,68.6
2008-12-02,62.31,67.01
2008-12-03,60.18,65.37
2008-12-04,60.21,65.08
2008-12-05,59.26,66.54
2008-12-08,57.35,59.87
2008-12-09,56.37,59.57
2008-12-10,53.79,58.91
2008-12-11,52.94,56.44
2008-12-12,54.26,58.84
2008-12-15,55.68,58.49
2008-12-16,50.91,56.76
2008-12-17,49.36,52.19
2008-12-18,44.5,49.84
2008-12-19,41.29,46.01
2008-12-22,42.75,46.69
2008-12-23,41.68,45.39
2008-12-24,44.15,45.02
2008-12-26,42.92,44.36
2008-12-29,42.16,46.24
2008-12-30,41.63,44.29
2008-12-31,37.96,41.63
2009-01-02,36.88,39.82
2009-01-05,38.3,40.22
2009-01-06,37.34,39.33
2009-01-07,40.12,43.82
2009-01-08,42.56,44.6
2009-01-09,41.05,43.13
2009-01-12,41.94,46.62
2009-01-13,43.23,47.08
2009-01-14,46.14,51.55
2009-01-15,49.14,55.16
2009-01-16,45.96,51.0
2009-01-20,49.27,57.36
2009-01-21,46.15,54.12
2009-01-22,46.51,51.76
2009-01-23,46.43,51.11
2009-01-26,44.29,47.93
2009-01-27,42.2,45.93
2009-01-28,33.76,42.25
2009-01-29,41.12,43.03
2009-01-30,42.09,45.53
2009-02-02,45.26,49.54
2009-02-03,42.43,45.52
2009-02-04,41.39,44.52
2009-02-05,42.32,46.23
2009-02-06,41.2,43.71
2009-02-09,43.04,45.45
2009-02-10,44.18,48.12
2009-02-11,44.5,46.67
2009-02-12,41.21,48.63
2009-02-13,40.73,43.02
2009-02-17,46.96,51.18
2009-02-18,46.0,50.29
2009-02-19,44.81,48.54
2009-02-20,42.02,52.04
2009-02-23,48.97,53.16
2009-02-24,44.28,52.56
2009-02-25,42.84,47.23
2009-02-26,41.91,45.33
2009-02-27,44.46,47.34
2009-03-02,48.35,53.25
2009-03-03,48.5,52.76
2009-03-04,45.02,48.83
2009-03-05,46.98,51.95
2009-03-06,47.65,51.95
2009-03-09,48.4,51.34
2009-03-10,43.88,49.68
2009-03-11,42.36,44.26
2009-03-12,40.75,43.98
2009-03-13,40.03,43.52
2009-03-16,42.36,44.23
2009-03-17,40.74,44.59
2009-03-18,38.98,42.39
2009-03-19,38.79,44.17
2009-03-20,43.07,47.63
2009-03-23,41.27,45.89
2009-03-24,41.63,44.0
2009-03-25,40.81,44.2
2009-03-26,40.17,42.25
2009-03-27,40.36,42.13
2009-03-30,44.86,46.28
2009-03-31,42.27,45.54
2009-04-01,42.26,45.6
2009-04-02,40.3,42.68
2009-04-03,39.64,42.03
2009-04-06,40.83,43.02
2009-04-07,40.36,42.5
2009-04-08,38.7,40.86
2009-04-09,36.53,37.74
2009-04-13,37.51,38.91
2009-04-14,36.88,38.5
2009-04-15,36.1,38.06
2009-04-16,34.88,36.8
2009-04-17,33.68,35.52
2009-04-20,33.94,39.58
2009-04-21,36.95,40.29
2009-04-22,36.01,38.19
2009-04-23,37.01,38.52
2009-04-24,36.37,37.53
2009-04-27,37.97,39.52
2009-04-28,37.42,39.64
2009-04-29,35.37,37.95
2009-04-30,34.5,36.71
2009-05-01,34.88,36.88
2009-05-04,34.31,36.2
2009-05-05,33.36,35.14
2009-05-06,32.43,33.7
2009-05-07,31.91,34.56
2009-05-08,31.19,32.72
2009-05-11,32.05,34.08
2009-05-12,31.57,33.29
2009-05-13,32.56,33.99
2009-05-14,31.32,33.96
2009-05-15,30.59,33.61
2009-05-18,30.0,32.91
2009-05-19,28.35,30.32
2009-05-20,26.57,29.16
2009-05-21,29.03,32.77
2009-05-22,30.57,32.71
2009-05-26,30.38,34.57
2009-05-27,29.62,32.53
2009-05-28,31.1,33.32
2009-05-29,28.85,31.67
2009-06-01,28.45,30.04
2009-06-02,28.3,30.13
2009-06-03,29.62,31.79
2009-06-04,29.92,31.02
2009-06-05,28.85,30.81
2009-06-08,29.33,31.82
2009-06-09,27.79,29.77
2009-06-10,26.9,29.74
2009-06-11,26.81,28.11
2009-06-12,27.73,28.5
2009-06-15,29.64,31.09
2009-06-16,30.07,32.75
2009-06-17,30.64,32.77
2009-06-18,29.6,31.54
2009-06-19,27.56,29.32
2009-06-22,30.3,32.05
2009-06-23,27.83,31.54
2009-06-24,28.79,30.58
2009-06-25,26.3,29.56
2009-06-26,25.76,27.22
2009-06-29,25.29,27.18
2009-06-30,25.02,27.38
2009-07-01,24.8,26.31
2009-07-02,26.22,28.62
2009-07-06,28.99,30.6
2009-07-07,28.9,30.94
2009-07-08,30.43,33.05
2009-07-09,29.28,30.49
2009-07-10,28.82,30.34
2009-07-13,25.42,29.24
2009-07-14,24.99,26.84
2009-07-15,23.83,26.06
2009-07-16,24.51,26.18
2009-07-17,23.88,25.55
2009-07-20,24.26,25.42
2009-07-21,23.81,25.14
2009-07-22,23.24,24.14
2009-07-23,23.33,24.05
2009-07-24,23.0,23.87
2009-07-27,24.02,24.86
2009-07-28,24.28,25.61
2009-07-29,25.41,26.18
2009-07-30,24.85,25.76
2009-07-31,24.93,26.22
2009-08-03,25.56,26.49
2009-08-04,24.89,26.16
2009-08-05,24.86,25.85
2009-08-06,24.47,26.15
2009-08-07,23.98,24.95
2009-08-10,24.76,25.82
2009-08-11,24.98,26.98
2009-08-12,25.11,26.5
2009-08-13,24.71,26.15
2009-08-14,24.26,25.94
2009-08-17,24.27,28.39
2009-08-18,26.08,27.89
2009-08-19,26.14,28.14
2009-08-20,24.75,26.45
2009-08-21,23.91,25.06
2009-08-24,25.01,25.7
2009-08-25,23.68,25.13
2009-08-26,24.69,25.56
2009-08-27,24.43,25.89
2009-08-28,24.28,25.5
2009-08-31,24.76,27.01
2009-09-01,26.0,29.23
2009-09-02,28.41,29.57
2009-09-03,26.98,28.9
2009-09-04,24.86,26.98
2009-09-08,25.26,26.15
2009-09-09,24.23,25.93
2009-09-10,22.82,24.76
2009-09-11,22.48,24.33
2009-09-14,23.32,25.39
2009-09-15,23.07,24.26
2009-09-16,22.78,23.92
2009-09-17,22.79,24.07
2009-09-18,23.14,24.43
2009-09-21,23.71,25.51
2009-09-22,23.06,23.98
2009-09-23,22.19,23.69
2009-09-24,23.44,25.37
2009-09-25,24.81,26.34
2009-09-28,24.85,26.4
2009-09-29,24.54,25.28
2009-09-30,24.76,26.45
2009-10-01,25.98,28.42
2009-10-02,27.98,29.56
2009-10-05,26.57,29.34
2009-10-06,25.19,26.41
2009-10-07,24.57,25.82
2009-10-08,23.9,24.69
2009-10-09,22.99,24.54
2009-10-12,22.67,23.53
2009-10-13,22.74,24.07
2009-10-14,21.55,22.89
2009-10-15,21.49,23.53
2009-10-16,20.98,22.6
2009-10-19,20.91,22.46
2009-10-20,20.9,21.76
2009-10-21,20.1,22.48
2009-10-22,20.33,22.77
2009-10-23,20.34,22.59
2009-10-26,21.89,24.86
2009-10-27,24.03,25.22
2009-10-28,24.83,27.94
2009-10-29,24.68,27.19
2009-10-30,24.76,31.59
2009-11-02,28.07,31.84
