currency,time,bid,ask
EUR/GBP,20190101 22:06:21.416,0.89744,0.90173
EUR/GBP,20190101 22:06:21.420,0.89716,0.90172
EUR/GBP,20190101 22:06:21.424,0.89744,0.90173
EUR/GBP,20190101 22:06:21.427,0.89716,0.9017
EUR/GBP,20190101 22:06:21.434,0.89738,0.9017
EUR/GBP,20190101 22:06:21.489,0.89722,0.90171
EUR/GBP,20190101 22:06:21.497,0.89744,0.90173
EUR/GBP,20190101 22:06:21.500,0.89738,0.9017
EUR/GBP,20190101 22:06:21.554,0.89744,0.90173
EUR/GBP,20190101 22:06:21.558,0.89716,0.9017
EUR/GBP,20190101 22:06:21.565,0.8974,0.9017
EUR/GBP,20190101 22:06:21.573,0.89739,0.90173
EUR/GBP,20190101 22:06:21.633,0.89744,0.90171
EUR/GBP,20190101 22:06:21.690,0.89716,0.90172
EUR/GBP,20190101 22:06:21.694,0.89749,0.90171
EUR/GBP,20190101 22:06:21.696,0.89716,0.90172
EUR/GBP,20190101 22:06:21.698,0.89744,0.90173
EUR/GBP,20190101 22:06:21.702,0.8974,0.9017
EUR/GBP,20190101 22:06:21.761,0.89716,0.90172
EUR/GBP,20190101 22:06:21.765,0.89749,0.90171
EUR/GBP,20190101 22:06:21.827,0.89738,0.9017
EUR/GBP,20190101 22:06:21.830,0.89749,0.90171
EUR/GBP,20190101 22:06:21.834,0.89711,0.90169
EUR/GBP,20190101 22:06:21.837,0.89722,0.90171
EUR/GBP,20190101 22:06:21.898,0.89716,0.9017
EUR/GBP,20190101 22:06:21.901,0.89711,0.90169
EUR/GBP,20190101 22:06:21.905,0.89739,0.90172
EUR/GBP,20190101 22:06:21.909,0.89738,0.9017
EUR/GBP,20190101 22:06:21.978,0.89716,0.9017
EUR/GBP,20190101 22:06:21.982,0.89744,0.90173
EUR/GBP,20190101 22:06:21.986,0.89738,0.9017
EUR/GBP,20190101 22:06:22.050,0.89711,0.90169
EUR/GBP,20190101 22:06:22.052,0.89738,0.9017
EUR/GBP,20190101 22:06:22.055,0.89744,0.90173
EUR/GBP,20190101 22:06:22.059,0.89738,0.9017
EUR/GBP,20190101 22:06:22.064,0.89744,0.90171
EUR/GBP,20190101 22:06:22.069,0.89716,0.90172
EUR/GBP,20190101 22:06:22.074,0.89711,0.90169
EUR/GBP,20190101 22:06:22.128,0.89749,0.90171
EUR/GBP,20190101 22:06:22.130,0.89744,0.90173
EUR/GBP,20190101 22:06:22.136,0.8974,0.9017
EUR/GBP,20190101 22:06:22.139,0.89744,0.90173
EUR/GBP,20190101 22:06:22.143,0.89744,0.90171
EUR/GBP,20190101 22:06:22.197,0.89744,0.90173
EUR/GBP,20190101 22:06:22.202,0.89738,0.9017
EUR/GBP,20190101 22:06:22.208,0.89744,0.90171
EUR/GBP,20190101 22:06:22.212,0.89744,0.90173
EUR/GBP,20190101 22:06:22.267,0.8974,0.9017
EUR/GBP,20190101 22:06:22.270,0.89744,0.90171
EUR/GBP,20190101 22:06:22.273,0.89744,0.90173
EUR/GBP,20190101 22:06:22.277,0.89738,0.9017
EUR/GBP,20190101 22:06:22.283,0.89744,0.90173
EUR/GBP,20190101 22:06:22.337,0.89713,0.9017
EUR/GBP,20190101 22:06:22.342,0.89716,0.9017
EUR/GBP,20190101 22:06:22.345,0.89711,0.90169
EUR/GBP,20190101 22:06:22.348,0.89738,0.9017
EUR/GBP,20190101 22:06:22.408,0.89739,0.9017
EUR/GBP,20190101 22:06:22.416,0.89738,0.9017
EUR/GBP,20190101 22:06:22.480,0.89744,0.90173
EUR/GBP,20190101 22:06:22.484,0.89739,0.90173
EUR/GBP,20190101 22:06:22.538,0.89749,0.90171
EUR/GBP,20190101 22:06:22.540,0.89716,0.9017
EUR/GBP,20190101 22:06:22.542,0.89744,0.90171
EUR/GBP,20190101 22:06:22.545,0.89738,0.9017
EUR/GBP,20190101 22:06:22.549,0.8975,0.90171
EUR/GBP,20190101 22:06:22.604,0.89744,0.90171
EUR/GBP,20190101 22:06:22.608,0.89744,0.90173
EUR/GBP,20190101 22:06:22.616,0.89738,0.9017
EUR/GBP,20190101 22:06:22.674,0.89749,0.90171
EUR/GBP,20190101 22:06:22.675,0.89744,0.90171
EUR/GBP,20190101 22:06:22.682,0.89739,0.9017
EUR/GBP,20190101 22:06:22.740,0.89744,0.90171
EUR/GBP,20190101 22:06:22.751,0.89716,0.90172
EUR/GBP,20190101 22:06:22.753,0.89711,0.90169
EUR/GBP,20190101 22:06:22.806,0.89738,0.9017
EUR/GBP,20190101 22:06:22.809,0.89711,0.90169
EUR/GBP,20190101 22:06:22.813,0.89738,0.9017
EUR/GBP,20190101 22:06:22.816,0.89713,0.9017
EUR/GBP,20190101 22:06:22.821,0.8974,0.9017
EUR/GBP,20190101 22:06:22.879,0.89744,0.90173
EUR/GBP,20190101 22:06:22.882,0.89744,0.90171
EUR/GBP,20190101 22:06:22.887,0.89749,0.90171
EUR/GBP,20190101 22:06:22.895,0.89744,0.90173
EUR/GBP,20190101 22:06:22.951,0.89749,0.90171
EUR/GBP,20190101 22:06:23.013,0.89744,0.90171
EUR/GBP,20190101 22:06:23.022,0.8974,0.9017
EUR/GBP,20190101 22:06:23.026,0.89738,0.9017
EUR/GBP,20190101 22:06:23.082,0.89713,0.9017
EUR/GBP,20190101 22:06:23.092,0.89744,0.90171
EUR/GBP,20190101 22:06:23.095,0.89716,0.90172
EUR/GBP,20190101 22:06:23.150,0.89716,0.9017
EUR/GBP,20190101 22:06:23.162,0.8975,0.90171
EUR/GBP,20190101 22:06:23.219,0.89744,0.90173
EUR/GBP,20190101 22:06:23.223,0.8975,0.90171
EUR/GBP,20190101 22:06:23.236,0.89749,0.90171
EUR/GBP,20190101 22:06:23.240,0.89738,0.9017
EUR/GBP,20190101 22:06:23.295,0.89716,0.9017
EUR/GBP,20190101 22:06:23.298,0.89744,0.90171
EUR/GBP,20190101 22:06:23.299,0.89744,0.90173
EUR/GBP,20190101 22:06:23.302,0.8974,0.9017
EUR/GBP,20190101 22:06:23.305,0.89744,0.90173
